Dataset,Model,Cost,Fold,Group,DL Coverage,DL Full Instance Jaccard,DL Full Macro Precision,DL Full Macro Recall,DL Full Macro-F1,DL Label Count,IL Coverage,IL Full Instance Jaccard,IL Full Macro Precision,IL Full Macro Recall,IL Full Macro-F1,IL Label Count
emotions,GSI_MLC_PA_Logistic,,1,DL,1.0,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,,1,IL,,,,,,,1.0,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,,2,DL,1.0,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,2,IL,,,,,,,1.0,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,,3,DL,1.0,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,3,IL,,,,,,,1.0,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,,4,DL,1.0,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,,4,IL,,,,,,,1.0,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,,5,DL,1.0,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,,5,IL,,,,,,,1.0,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.20,1,DL,0.15368852459016394,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.20,2,DL,0.29411764705882354,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.20,3,DL,0.3523035230352303,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,3,IL,,,,,,,0.24390243902439024,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.20,4,DL,0.49722222222222223,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,4,IL,,,,,,,0.3111111111111111,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.20,5,DL,0.44724770642201833,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.20,5,IL,,,,,,,0.20642201834862386,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.25,1,DL,0.15368852459016394,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.25,2,DL,0.29411764705882354,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.25,3,DL,0.3523035230352303,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,3,IL,,,,,,,0.24390243902439024,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.25,4,DL,0.49722222222222223,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,4,IL,,,,,,,0.3111111111111111,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.25,5,DL,0.44724770642201833,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.25,5,IL,,,,,,,0.20642201834862386,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.30,1,DL,0.15368852459016394,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.30,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.30,2,DL,0.29411764705882354,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.30,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.30,3,DL,0.3523035230352303,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.30,3,IL,,,,,,,0.24390243902439024,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.30,4,DL,0.49722222222222223,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.30,4,IL,,,,,,,0.3111111111111111,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.30,5,DL,0.44724770642201833,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.30,5,IL,,,,,,,0.20642201834862386,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.35,1,DL,0.15368852459016394,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.35,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.35,2,DL,0.29411764705882354,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.35,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.35,3,DL,0.3523035230352303,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.35,3,IL,,,,,,,0.24390243902439024,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.35,4,DL,0.49722222222222223,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.35,4,IL,,,,,,,0.3111111111111111,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.35,5,DL,0.44724770642201833,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.35,5,IL,,,,,,,0.20642201834862386,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.40,1,DL,0.8319672131147541,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.40,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.40,2,DL,0.29411764705882354,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.40,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.40,3,DL,0.6205962059620597,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.40,3,IL,,,,,,,0.5311653116531165,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.40,4,DL,0.49722222222222223,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.40,4,IL,,,,,,,0.5805555555555556,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.40,5,DL,0.44724770642201833,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.40,5,IL,,,,,,,0.6330275229357798,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
emotions,GSI_MLC_PA_Logistic,0.50,1,DL,1.0,0.48633879781420764,0.7499816849816849,0.45769010863350484,0.539176289811883,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.50,1,IL,,,,,,,0.5327868852459017,0.7540983606557377,0.7948717948717949,0.7482456140350877,0.7694805194805194,2
emotions,GSI_MLC_PA_Logistic,0.50,2,DL,0.8011204481792717,0.49159663865546216,0.7063492063492064,0.3841269841269841,0.4749860197014668,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.50,2,IL,,,,,,,0.49019607843137253,0.5672268907563025,0.8516414141414143,0.6385243613011308,0.7237606837606837,3
emotions,GSI_MLC_PA_Logistic,0.50,3,DL,0.8238482384823849,0.562330623306233,0.6136521136521137,0.42298983475454066,0.4674982674982675,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.50,3,IL,,,,,,,1.0,0.6924119241192411,0.7624242424242423,0.631579293257888,0.6827393431167016,3
emotions,GSI_MLC_PA_Logistic,0.50,4,DL,0.7194444444444444,0.5416666666666666,0.7511200716845877,0.45108225108225114,0.5274678177281841,3,,,,,,
emotions,GSI_MLC_PA_Logistic,0.50,4,IL,,,,,,,0.8416666666666667,0.5402777777777777,0.7306905370843989,0.588546838795101,0.6486795797941308,3
emotions,GSI_MLC_PA_Logistic,0.50,5,DL,0.7660550458715596,0.5,0.7415377176015474,0.4800406955234924,0.5529922027290448,4,,,,,,
emotions,GSI_MLC_PA_Logistic,0.50,5,IL,,,,,,,1.0,0.6467889908256881,0.771551724137931,0.5673374613003096,0.6536284096757592,2
